User_ID,Product_ID,Interaction_Type,Rating
2887,985,purchase,5.0
6976,2647,view,
1680,1602,view,
1627,4089,add_to_cart,
1904,976,view,
4298,144,add_to_cart,
4695,1998,purchase,1.0
2189,1951,view,
4362,2769,purchase,5.0
2156,816,view,
5384,3476,view,
3950,3553,add_to_cart,
7713,1860,view,
5453,3101,view,
4037,2451,view,
6448,2975,add_to_cart,
3524,3229,purchase,1.0
967,2644,view,
1577,709,view,
1987,795,view,
6932,776,view,
1646,357,purchase,5.0
1567,1700,purchase,5.0
6074,1888,view,
710,932,purchase,1.0
2411,1597,purchase,4.0
6866,4263,add_to_cart,
5600,2514,add_to_cart,
3530,1691,view,
5349,1257,view,
796,2234,add_to_cart,
7309,716,purchase,2.0
15,3959,purchase,1.0
5513,2049,view,
3733,836,add_to_cart,
2109,3724,add_to_cart,
5124,3781,purchase,5.0
9885,4925,purchase,1.0
1864,2639,purchase,1.0
8710,2645,view,
665,2999,view,
3126,2676,add_to_cart,
1989,689,add_to_cart,
2296,217,purchase,5.0
2654,2531,add_to_cart,
8675,3404,add_to_cart,
9811,317,purchase,5.0
3293,4472,purchase,1.0
6629,4028,purchase,1.0
1896,105,view,
6653,2105,purchase,1.0
6875,345,add_to_cart,
3762,2332,add_to_cart,
1689,1037,purchase,4.0
9193,1691,purchase,3.0
2892,698,add_to_cart,
6972,1879,add_to_cart,
3484,1846,purchase,2.0
3336,2825,purchase,3.0
7551,2051,purchase,3.0
5918,347,add_to_cart,
4819,574,view,
343,975,view,
5085,2516,add_to_cart,
862,3049,view,
8174,4717,view,
5426,427,view,
7790,4014,add_to_cart,
2345,2541,purchase,5.0
2062,471,add_to_cart,
9119,678,view,
6166,2972,purchase,4.0
3502,3704,purchase,3.0
965,2723,view,
8504,2767,purchase,3.0
748,2453,purchase,4.0
9051,4968,view,
9969,1701,purchase,5.0
8005,4870,purchase,1.0
686,1399,add_to_cart,
3710,394,purchase,4.0
7872,2965,view,
5297,3250,view,
1853,1029,purchase,5.0
8057,1391,view,
1867,733,view,
8487,629,purchase,5.0
3161,4184,purchase,2.0
2232,2251,view,
2429,2004,add_to_cart,
5958,82,view,
7140,3038,add_to_cart,
4897,2228,view,
4316,4707,add_to_cart,
6624,4976,add_to_cart,
4247,2697,purchase,5.0
2637,1362,purchase,2.0
7003,664,add_to_cart,
6018,2556,purchase,1.0
6648,2722,view,
4556,1147,add_to_cart,
7120,2605,add_to_cart,
8368,2109,view,
8050,2301,add_to_cart,
4365,3801,add_to_cart,
5039,968,purchase,4.0
5431,2839,view,
8354,3151,purchase,5.0
6283,3217,view,
6685,4316,purchase,4.0
1175,2541,purchase,3.0
913,2607,add_to_cart,
2271,2182,view,
730,4643,view,
5137,838,add_to_cart,
1284,3975,view,
2707,2670,view,
1990,1151,view,
2204,4852,view,
4905,1959,purchase,4.0
6338,4828,add_to_cart,
8765,1349,view,
4208,4359,view,
2462,1567,purchase,4.0
9558,250,purchase,3.0
6565,621,view,
8530,1171,add_to_cart,
2898,1187,purchase,1.0
