Product_ID,Product_Name,Category,Price,Avg_Rating
1,Jewelry_1,Jewelry,527.82,1.94
2,Groceries_2,Groceries,202.55,3.65
3,Home_3,Home,219.01,3.82
4,Electronics_4,Electronics,18.65,4.48
5,Music_5,Music,231.86,3.08
6,Clothing_6,Clothing,367.27,1.75
7,Groceries_7,Groceries,944.37,3.67
8,Sports_8,Sports,901.11,2.69
9,Automotive_9,Automotive,811.39,1.2
10,Sports_10,Sports,796.99,4.96
11,Clothing_11,Clothing,930.36,1.81
12,Home_12,Home,558.65,3.66
13,Electronics_13,Electronics,381.07,1.71
14,Music_14,Music,455.18,2.16
15,Sports_15,Sports,613.99,4.37
16,Books_16,Books,297.14,2.11
17,Home_17,Home,105.52,2.19
18,Music_18,Music,367.8,3.26
19,Clothing_19,Clothing,334.48,2.02
20,Jewelry_20,Jewelry,423.14,1.14
21,Toys_21,Toys,174.94,3.63
22,Groceries_22,Groceries,421.0,4.44
23,Music_23,Music,716.63,4.72
24,Music_24,Music,184.3,2.03
25,Beauty_25,Beauty,886.86,3.65
26,Jewelry_26,Jewelry,347.72,1.35
27,Electronics_27,Electronics,343.1,3.93
28,Electronics_28,Electronics,463.38,1.76
29,Beauty_29,Beauty,273.0,4.69
30,Electronics_30,Electronics,748.85,1.09
31,Toys_31,Toys,342.11,1.69
32,Music_32,Music,779.66,1.62
33,Beauty_33,Beauty,974.72,1.54
34,Electronics_34,Electronics,421.46,1.51
35,Electronics_35,Electronics,149.4,2.15
36,Groceries_36,Groceries,938.25,4.27
37,Toys_37,Toys,617.09,3.49
38,Home_38,Home,458.13,2.37
39,Books_39,Books,828.68,1.15
40,Books_40,Books,321.11,4.75
41,Books_41,Books,658.17,2.56
42,Groceries_42,Groceries,423.44,2.84
43,Electronics_43,Electronics,131.56,1.99
44,Groceries_44,Groceries,653.63,1.75
45,Beauty_45,Beauty,625.46,4.07
46,Home_46,Home,287.51,2.79
47,Automotive_47,Automotive,765.11,4.72
48,Clothing_48,Clothing,620.87,3.6
49,Music_49,Music,426.05,3.8
50,Home_50,Home,557.24,4.16
51,Home_51,Home,502.4,2.62
52,Groceries_52,Groceries,827.5,2.69
53,Sports_53,Sports,724.11,4.31
54,Books_54,Books,53.73,1.1
55,Sports_55,Sports,714.23,1.34
56,Toys_56,Toys,387.58,2.11
57,Groceries_57,Groceries,659.39,3.77
58,Groceries_58,Groceries,859.16,3.68
59,Toys_59,Toys,266.29,4.59
60,Home_60,Home,556.88,2.84
61,Electronics_61,Electronics,600.85,4.84
62,Music_62,Music,147.94,2.74
63,Books_63,Books,843.32,2.38
64,Beauty_64,Beauty,477.39,4.35
65,Beauty_65,Beauty,542.93,1.64
66,Sports_66,Sports,569.23,1.85
67,Jewelry_67,Jewelry,95.11,2.86
68,Beauty_68,Beauty,461.09,1.13
69,Clothing_69,Clothing,65.52,1.59
70,Toys_70,Toys,982.72,1.36
71,Beauty_71,Beauty,712.7,1.53
72,Clothing_72,Clothing,558.4,4.4
73,Music_73,Music,254.87,2.95
74,Groceries_74,Groceries,5.85,2.12
75,Clothing_75,Clothing,967.17,3.76
76,Sports_76,Sports,515.0,3.62
77,Jewelry_77,Jewelry,812.44,4.8
78,Groceries_78,Groceries,130.24,1.65
79,Toys_79,Toys,153.04,3.99
80,Music_80,Music,172.88,4.14
81,Clothing_81,Clothing,323.51,3.54
82,Books_82,Books,771.4,2.53
83,Electronics_83,Electronics,218.34,1.78
84,Music_84,Music,402.43,4.84
85,Toys_85,Toys,122.29,2.16
86,Beauty_86,Beauty,332.22,3.74
87,Jewelry_87,Jewelry,611.06,3.45
88,Beauty_88,Beauty,35.86,4.23
89,Toys_89,Toys,456.21,1.62
90,Books_90,Books,33.86,1.85
91,Sports_91,Sports,447.67,1.85
92,Groceries_92,Groceries,744.2,1.51
93,Automotive_93,Automotive,472.08,1.15
94,Clothing_94,Clothing,712.76,2.31
95,Clothing_95,Clothing,390.51,4.28
96,Toys_96,Toys,340.15,4.34
97,Jewelry_97,Jewelry,394.55,3.01
98,Electronics_98,Electronics,881.22,3.5
99,Jewelry_99,Jewelry,707.35,2.3
100,Beauty_100,Beauty,262.32,2.77
101,Books_101,Books,497.2,3.72
102,Electronics_102,Electronics,615.35,1.67
103,Jewelry_103,Jewelry,377.55,4.63
104,Toys_104,Toys,444.95,3.94
105,Jewelry_105,Jewelry,153.12,3.6
106,Toys_106,Toys,170.1,4.44
107,Toys_107,Toys,412.3,2.64
108,Sports_108,Sports,619.0,1.26
109,Automotive_109,Automotive,350.43,1.47
110,Home_110,Home,255.66,3.51
111,Jewelry_111,Jewelry,794.84,3.39
112,Electronics_112,Electronics,803.38,1.86
113,Jewelry_113,Jewelry,365.32,3.36
114,Books_114,Books,815.76,2.32
115,Automotive_115,Automotive,105.73,1.76
116,Music_116,Music,299.17,4.83
117,Books_117,Books,334.26,3.83
118,Electronics_118,Electronics,610.14,3.87
119,Beauty_119,Beauty,247.94,3.03
120,Music_120,Music,647.24,2.32
121,Automotive_121,Automotive,140.67,4.5
122,Clothing_122,Clothing,281.26,4.19
123,Clothing_123,Clothing,530.9,4.51
124,Automotive_124,Automotive,837.24,3.54
125,Music_125,Music,724.15,4.13
126,Beauty_126,Beauty,458.23,4.66
127,Sports_127,Sports,46.69,1.96
128,Automotive_128,Automotive,868.32,3.35
129,Sports_129,Sports,692.12,2.9
130,Clothing_130,Clothing,540.64,1.07
131,Groceries_131,Groceries,292.57,3.82
132,Beauty_132,Beauty,487.04,1.4
133,Automotive_133,Automotive,218.76,1.95
134,Music_134,Music,876.83,1.0
135,Jewelry_135,Jewelry,385.32,3.44
136,Sports_136,Sports,606.13,4.33
137,Toys_137,Toys,978.2,4.66
138,Home_138,Home,734.66,1.88
139,Clothing_139,Clothing,651.92,1.77
140,Music_140,Music,364.87,3.13
141,Sports_141,Sports,421.67,1.87
142,Toys_142,Toys,321.48,2.63
143,Home_143,Home,26.59,4.24
144,Sports_144,Sports,523.08,3.87
145,Music_145,Music,502.86,4.49
146,Music_146,Music,968.68,3.04
147,Groceries_147,Groceries,613.31,3.45
148,Jewelry_148,Jewelry,466.07,4.32
149,Electronics_149,Electronics,65.75,2.36
150,Electronics_150,Electronics,300.98,3.15
151,Groceries_151,Groceries,935.22,1.61
152,Music_152,Music,119.34,3.18
153,Sports_153,Sports,546.12,2.47
154,Clothing_154,Clothing,571.23,4.55
155,Beauty_155,Beauty,967.59,3.12
156,Electronics_156,Electronics,399.12,1.81
157,Electronics_157,Electronics,922.09,4.29
158,Clothing_158,Clothing,458.13,2.86
159,Sports_159,Sports,789.21,3.89
160,Jewelry_160,Jewelry,142.7,1.44
161,Electronics_161,Electronics,839.67,4.27
162,Books_162,Books,307.79,3.49
163,Electronics_163,Electronics,725.13,2.3
164,Electronics_164,Electronics,113.0,4.95
165,Jewelry_165,Jewelry,479.04,3.55
166,Beauty_166,Beauty,822.51,1.97
167,Books_167,Books,153.86,2.8
168,Music_168,Music,450.08,4.67
169,Automotive_169,Automotive,194.81,4.32
170,Books_170,Books,785.19,3.54
171,Home_171,Home,831.91,1.82
172,Home_172,Home,613.89,4.67
173,Music_173,Music,558.59,2.04
174,Music_174,Music,522.33,3.05
175,Music_175,Music,820.7,2.06
176,Groceries_176,Groceries,738.7,1.52
177,Music_177,Music,458.09,4.82
178,Automotive_178,Automotive,139.26,1.65
179,Toys_179,Toys,705.08,1.1
180,Electronics_180,Electronics,66.0,3.51
181,Beauty_181,Beauty,183.76,1.89
182,Clothing_182,Clothing,587.06,2.63
183,Groceries_183,Groceries,913.76,1.99
184,Music_184,Music,371.86,4.23
185,Music_185,Music,820.37,2.95
186,Sports_186,Sports,458.17,2.3
187,Clothing_187,Clothing,310.37,4.86
188,Music_188,Music,666.73,2.23
189,Home_189,Home,600.71,4.39
190,Toys_190,Toys,690.76,1.49
191,Music_191,Music,733.37,4.28
192,Clothing_192,Clothing,837.51,3.48
193,Electronics_193,Electronics,553.55,4.63
194,Beauty_194,Beauty,374.95,3.57
195,Jewelry_195,Jewelry,981.85,1.13
196,Home_196,Home,467.73,3.1
197,Beauty_197,Beauty,747.35,4.78
198,Toys_198,Toys,583.23,4.53
199,Sports_199,Sports,841.41,4.79
200,Electronics_200,Electronics,366.73,2.02
201,Music_201,Music,282.14,2.29
202,Music_202,Music,761.45,4.38
203,Clothing_203,Clothing,725.76,3.93
204,Toys_204,Toys,827.19,1.67
205,Toys_205,Toys,185.29,1.8
206,Toys_206,Toys,170.06,1.74
207,Toys_207,Toys,969.19,1.59
208,Home_208,Home,756.14,4.08
209,Toys_209,Toys,838.92,3.79
210,Electronics_210,Electronics,397.78,1.92
211,Electronics_211,Electronics,764.54,4.02
212,Automotive_212,Automotive,297.33,4.79
