User_ID,Age,Gender,Location,Interests
1,69,Other,Northwest,Sports
2,47,Female,East,Home
3,58,Female,Southeast,Sports
4,63,Other,Southeast,Jewelry
5,69,Male,Northwest,Automotive
6,43,Male,Northeast,Automotive
7,22,Other,Northeast,Toys
8,53,Other,Northeast,Books
9,27,Other,Central,Groceries
10,31,Male,Northeast,Groceries
11,50,Other,Northwest,Sports
12,28,Female,Southeast,Groceries
13,26,Other,North,Beauty
14,51,Female,Northeast,Home
15,46,Female,Northwest,Beauty
16,66,Other,South,Music
17,56,Male,West,Home
18,21,Female,Southeast,Groceries
19,37,Female,East,Music
20,34,Female,Central,Beauty
21,47,Male,South,Automotive
22,38,Other,East,Clothing
23,30,Male,Northeast,Music
24,38,Female,Southwest,Books
25,18,Other,Southeast,Groceries
26,42,Male,East,Toys
27,41,Male,South,Jewelry
28,30,Female,East,Sports
29,52,Female,South,Sports
30,69,Other,West,Home
31,61,Other,Northeast,Home
32,63,Other,South,Toys
33,31,Male,Southwest,Jewelry
34,49,Other,Northwest,Electronics
35,69,Other,East,Music
36,28,Other,West,Beauty
37,35,Female,Central,Jewelry
38,28,Male,Southeast,Groceries
39,53,Male,South,Jewelry
40,45,Other,North,Books
41,20,Female,Southwest,Clothing
42,54,Male,South,Clothing
43,51,Other,South,Sports
44,46,Female,Northeast,Automotive
45,69,Other,Central,Books
46,59,Male,Southeast,Automotive
47,38,Male,West,Jewelry
48,38,Other,Northwest,Automotive
49,35,Other,Southwest,Books
50,30,Other,West,Automotive
51,53,Female,South,Clothing
52,34,Male,Southeast,Sports
53,62,Male,East,Jewelry
54,57,Female,Southeast,Electronics
55,19,Male,North,Automotive
56,64,Male,Southeast,Electronics
57,20,Other,South,Sports
58,62,Female,Northwest,Jewelry
59,68,Female,East,Groceries
60,70,Male,East,Groceries
61,69,Male,Central,Electronics
62,70,Other,Central,Home
63,49,Female,Central,Toys
64,60,Male,Southwest,Home
65,18,Female,North,Sports
66,33,Other,Central,Electronics
67,54,Male,Southeast,Books
68,66,Male,Southeast,Home
69,27,Male,Northwest,Electronics
70,53,Other,Northeast,Automotive
71,60,Other,West,Music
72,60,Male,Southeast,Jewelry
73,31,Female,Central,Automotive
74,58,Other,Northeast,Home
75,20,Male,Southwest,Jewelry
76,31,Other,Northwest,Books
77,49,Other,Central,Books
78,50,Other,North,Groceries
79,39,Female,South,Home
80,62,Female,West,Beauty
81,54,Female,West,Home
82,53,Female,Southeast,Automotive
83,37,Male,Southwest,Groceries
84,23,Female,Southwest,Music
85,51,Other,Southwest,Books
86,68,Other,West,Groceries
87,30,Male,Central,Home
88,41,Male,West,Music
89,30,Male,Northwest,Toys
90,66,Other,Southwest,Toys
91,31,Female,East,Beauty
92,57,Other,Northwest,Books
93,59,Other,Northeast,Groceries
94,29,Female,Northwest,Groceries
95,66,Other,East,Music
96,64,Female,Northwest,Jewelry
97,58,Male,Southwest,Beauty
98,29,Female,South,Music
99,46,Male,West,Automotive
100,60,Other,Southwest,Music
101,68,Female,Northeast,Jewelry
102,42,Other,Central,Toys
103,28,Female,Central,Jewelry
104,40,Other,Northwest,Automotive
105,69,Female,Southeast,Electronics
106,59,Other,Central,Automotive
107,24,Female,East,Home
108,70,Other,Central,Home
109,56,Male,Northwest,Home
110,48,Female,Northeast,Books
111,35,Male,Northwest,Toys
112,62,Other,Southeast,Automotive
113,50,Male,Southwest,Electronics
114,67,Female,North,Music
115,64,Other,West,Books
116,27,Male,South,Automotive
117,33,Female,South,Groceries
118,58,Other,Southeast,Books
119,64,Female,Southwest,Music
120,34,Female,West,Jewelry
121,43,Female,Southwest,Sports
122,42,Female,North,Groceries
123,56,Male,Central,Electronics
124,41,Female,South,Groceries
125,42,Male,Central,Books
126,61,Female,Southwest,Sports
127,66,Other,West,Home
128,66,Male,Southwest,Books
129,40,Female,South,Clothing
130,55,Male,Southeast,Clothing
131,53,Male,Northwest,Clothing
132,61,Other,Southeast,Automotive
133,39,Other,Northwest,Clothing
134,68,Other,West,Home
135,62,Other,South,Music
136,61,Female,Central,Jewelry
137,69,Other,East,Electronics
138,34,Male,Central,Sports
139,39,Male,Northeast,Toys
140,42,Male,North,Home
141,55,Male,North,Groceries
142,45,Other,Northeast,Sports
143,36,Female,Northwest,Beauty
144,32,Male,West,Music
145,29,Male,West,Electronics
146,32,Other,Northeast,Clothing
147,52,Other,Northeast,Groceries
148,65,Male,West,Books
149,53,Female,East,Groceries
150,25,Female,Southeast,Toys
151,56,Female,Southwest,Sports
152,22,Female,Southeast,Automotive
153,18,Male,Central,Automotive
154,66,Female,South,Books
155,29,Male,Northeast,Toys
156,20,Male,Northeast,Toys
157,64,Other,Northwest,Sports
158,34,Other,East,Books
159,52,Other,East,Automotive
160,60,Other,Northeast,Home
161,35,Male,Northeast,Sports
162,40,Female,West,Electronics
163,46,Other,Southwest,Groceries
164,56,Other,West,Books
165,41,Other,Northwest,Beauty
166,23,Female,West,Toys
167,66,Male,East,Books
168,55,Other,Central,Clothing
169,29,Other,South,Clothing
170,50,Male,North,Jewelry
171,27,Female,South,Music
172,20,Male,Northeast,Books
173,35,Female,North,Automotive
174,64,Female,Northeast,Clothing
175,63,Female,Southeast,Groceries
176,36,Other,Northwest,Beauty
177,30,Male,Northwest,Jewelry
178,31,Male,Northeast,Books
179,18,Other,West,Home
180,34,Other,South,Music
181,54,Other,Southeast,Automotive
182,34,Male,Southeast,Toys
183,31,Other,Southeast,Groceries
184,21,Male,East,Music
185,52,Female,Central,Clothing
186,46,Other,Northeast,Clothing
187,27,Other,East,Groceries
188,68,Male,Southwest,Beauty
189,63,Male,Southeast,Music
190,37,Female,Southwest,Electronics
191,64,Male,South,Jewelry
192,69,Other,South,Sports
193,57,Other,Central,Groceries
194,24,Other,Southeast,Automotive
195,30,Female,Northeast,Books
196,19,Female,South,Beauty
197,41,Female,East,Beauty
198,37,Female,West,Home
199,37,Other,Southwest,Groceries
200,24,Male,Central,Toys
201,26,Other,Southeast,Electronics
202,58,Female,Southeast,Toys
203,47,Male,Northeast,Electronics
204,45,Male,West,Electronics
205,37,Other,North,Clothing
206,22,Other,South,Groceries
207,65,Other,Northwest,Electronics
208,19,Female,Northeast,Books
209,55,Other,North,Beauty
210,53,Male,Southwest,Automotive
211,43,Female,Northwest,Music
212,30,Male,West,Beauty
213,45,Female,Southwest,Books
214,64,Other,Southeast,Electronics
215,36,Female,South,Clothing
216,39,Other,Central,Jewelry
217,67,Male,Southeast,Music
218,37,Male,Southeast,Books
219,18,Female,East,Home
220,26,Female,West,Toys
221,22,Female,Northwest,Sports
222,37,Other,West,Toys
223,56,Female,Southeast,Beauty
224,61,Female,East,Books
225,45,Female,South,Toys
226,26,Other,Southwest,Home
227,28,Other,West,Toys
228,45,Female,Southwest,Automotive
229,59,Other,East,Jewelry
230,29,Other,Southwest,Music
231,22,Other,West,Groceries
232,34,Female,Northeast,Groceries
233,34,Male,South,Home
234,20,Male,South,Jewelry
235,68,Other,South,Home
236,29,Male,North,Jewelry
237,67,Other,Southeast,Jewelry
238,53,Other,Southwest,Beauty
239,55,Other,Central,Clothing
240,45,Other,South,Home
241,57,Other,North,Sports
